grid,long,lat
E125003,-89.39789,22.18559
E126003,-89.06168,22.15891
E127003,-88.72571,22.13107
E128003,-88.38995,22.1021
E129003,-88.05444,22.07197
E130003,-87.71918,22.0407
E131003,-87.38416,22.00831
E132003,-87.04941,21.97475
E133003,-86.71494,21.94007
E134003,-86.38074,21.90426
E135003,-86.04681,21.86729
E136003,-85.7132,21.82922
E137003,-85.37988,21.79001
E138003,-85.04688,21.74968
E139003,-84.71423,21.70822
E140003,-84.38187,21.66563
E141003,-84.04987,21.62193
E142003,-83.7182,21.57712
E143003,-83.3869,21.53118
E144003,-83.05597,21.48415
E145003,-82.7254,21.43598
E146003,-82.39523,21.38673
E147003,-82.06543,21.33637
E148003,-81.73602,21.28492
E149003,-81.40704,21.23235
E150003,-81.07846,21.17869
E151003,-80.75031,21.12394
E152003,-80.42255,21.06812
E153003,-80.09528,21.01119
E154003,-79.7684,20.95319
E155003,-79.44202,20.89411
E156003,-79.11606,20.83395
E157003,-78.79059,20.77273
E158003,-78.46558,20.71043
E159003,-78.14105,20.64708
E160003,-77.81699,20.58264
E161003,-77.49344,20.51717
E162003,-77.17041,20.45062
E163003,-76.84787,20.38304
E164003,-76.52585,20.3144
E165003,-76.20435,20.24471
E166003,-75.88336,20.17401
E167003,-75.56293,20.10226
E168003,-75.24304,20.02947
E169003,-74.92371,19.95565
E170003,-74.60492,19.88081
E171003,-74.28668,19.80498
E172003,-73.96902,19.72811
E173003,-73.65195,19.65023
E174003,-73.33545,19.57133
E175003,-73.01953,19.49144
E176003,-72.70419,19.41055
E177003,-72.38947,19.32868
E178003,-72.07535,19.24581
E179003,-71.76184,19.16196
E180003,-71.44894,19.07713
E181003,-71.13666,18.99133
E182003,-70.82501,18.90454
E183003,-70.51398,18.8168
E184003,-70.20361,18.7281
E185003,-69.89386,18.63843
E186003,-69.58478,18.54781
E187003,-69.27634,18.45626
E188003,-68.96857,18.36375
E189003,-68.66144,18.27032
E190003,-68.35498,18.17593
E191003,-68.04919,18.08064
E192003,-67.74411,17.98441
E193003,-67.4397,17.88728
E194003,-67.13596,17.78922
E195003,-66.83292,17.69028
E196003,-66.53058,17.59041
E197003,-66.22894,17.48965
E198003,-65.92798,17.38802
E001004,-129.9751,17.0436
E002004,-129.6776,17.15102
E003004,-129.3794,17.25757
E004004,-129.0805,17.36326
E005004,-128.7809,17.46806
E006004,-128.4805,17.572
E007004,-128.1794,17.67506
E008004,-127.8775,17.77722
E009004,-127.575,17.87847
E010004,-127.2718,17.97886
E011004,-126.9678,18.07829
E012004,-126.6632,18.17685
E013004,-126.3579,18.27448
E014004,-126.0519,18.37119
E015004,-125.7452,18.46697
E016004,-125.4378,18.56182
E017004,-125.1297,18.65574
E018004,-124.821,18.7487
E019004,-124.5116,18.84074
E020004,-124.2016,18.93182
E021004,-123.8909,19.02194
E022004,-123.5796,19.1111
E023004,-123.2676,19.19928
E024004,-122.9549,19.28651
E025004,-122.6417,19.37276
E026004,-122.3278,19.45802
E027004,-122.0133,19.5423
E028004,-121.6982,19.62559
E029004,-121.3824,19.7079
E030004,-121.0661,19.78918
E031004,-120.7491,19.86948
E032004,-120.4316,19.94876
E033004,-120.1135,20.02705
E034004,-119.7948,20.10432
E035004,-119.4755,20.18056
E036004,-119.1557,20.25578
E037004,-118.8353,20.32996
E038004,-118.5143,20.40312
E039004,-118.1928,20.47524
E040004,-117.8708,20.54633
E041004,-117.5482,20.61636
E042004,-117.2251,20.68535
E043004,-116.9014,20.75329
E044004,-116.5773,20.82015
E045004,-116.2527,20.88598
E046004,-115.9275,20.95073
E047004,-115.6019,21.01443
E048004,-115.2757,21.07703
E049004,-114.9491,21.13859
E050004,-114.6221,21.19907
E051004,-114.2945,21.25845
E052004,-113.9665,21.31675
E053004,-113.6381,21.37395
E054004,-113.3092,21.43008
E055004,-112.9799,21.48511
E056004,-112.6501,21.53904
E057004,-112.32,21.59187
E058004,-111.9894,21.64359
E059004,-111.6585,21.69421
E060004,-111.3271,21.74373
E061004,-110.9954,21.79214
E062004,-110.6633,21.83942
E063004,-110.3308,21.88559
E064004,-109.9979,21.93064
E065004,-109.6647,21.97456
E066004,-109.3312,22.01737
E067004,-108.9973,22.05904
E068004,-108.6631,22.09959
E069004,-108.3286,22.13899
E070004,-107.9938,22.17728
E071004,-107.6586,22.21442
E072004,-107.3232,22.25042
E073004,-106.9875,22.28529
E074004,-106.6516,22.31901
E075004,-106.3153,22.35158
E076004,-105.9788,22.383
E077004,-105.6421,22.41328
E078004,-105.3051,22.44242
E079004,-104.9679,22.4704
E080004,-104.6304,22.49721
E081004,-104.2928,22.52288
E082004,-103.955,22.54739
E083004,-103.6169,22.57075
E084004,-103.2787,22.59294
E085004,-102.9403,22.61398
E086004,-102.6017,22.63385
E087004,-102.263,22.65255
E088004,-101.9242,22.6701
E089004,-101.5851,22.68648
E090004,-101.246,22.7017
E091004,-100.9068,22.71575
E092004,-100.5674,22.72863
E093004,-100.228,22.74034
E094004,-99.88843,22.75088
E095004,-99.5488,22.76025
E096004,-99.20911,22.76846
E097004,-98.86935,22.77548
E098004,-98.52954,22.78135
E099004,-98.1897,22.78603
E100004,-97.84979,22.78954
E101004,-97.50989,22.79189
E102004,-97.16998,22.79307
E103004,-96.83005,22.79307
E104004,-96.49011,22.79189
E105004,-96.15021,22.78954
E106004,-95.8103,22.78603
E107004,-95.47046,22.78135
E108004,-95.13065,22.77548
E109004,-94.79089,22.76846
E110004,-94.4512,22.76025
E111004,-94.11157,22.75088
E112004,-93.77203,22.74034
E113004,-93.43259,22.72863
E114004,-93.09323,22.71575
E115004,-92.75397,22.7017
E116004,-92.41486,22.68648
E117004,-92.07587,22.6701
E118004,-91.737,22.65255
E119004,-91.39828,22.63385
E120004,-91.05972,22.61398
E121004,-90.72131,22.59294
E122004,-90.38312,22.57075
E123004,-90.04504,22.54739
E124004,-89.70721,22.52288
E125004,-89.36957,22.49721
E126004,-89.03214,22.4704
E127004,-88.69495,22.44242
E128004,-88.35794,22.41328
E129004,-88.02121,22.383
E130004,-87.68469,22.35158
E131004,-87.34848,22.31901
E132004,-87.01251,22.28529
E133004,-86.67679,22.25042
E134004,-86.34137,22.21442
E135004,-86.00623,22.17728
E136004,-85.67142,22.13899
E137004,-85.33691,22.09959
E138004,-85.00269,22.05904
E139004,-84.66882,22.01737
E140004,-84.33527,21.97456
E141004,-84.00208,21.93064
E142004,-83.66925,21.88559
E143004,-83.33676,21.83942
E144004,-83.00464,21.79214
E145004,-82.67291,21.74373
E146004,-82.34155,21.69421
E147004,-82.01056,21.64359
E148004,-81.68002,21.59187
E149004,-81.34985,21.53904
E150004,-81.02011,21.48511
E151004,-80.6908,21.43008
E152004,-80.36194,21.37395
E153004,-80.03348,21.31675
E154004,-79.70551,21.25845
E155004,-79.37796,21.19907
E156004,-79.05087,21.13859
E157004,-78.72427,21.07703
E158004,-78.39816,21.01443
E159004,-78.07251,20.95073
E160004,-77.74738,20.88598
E161004,-77.42273,20.82015
E162004,-77.09857,20.75329
E163004,-76.77496,20.68535
E164004,-76.45184,20.61636
E165004,-76.12927,20.54633
E166004,-75.80722,20.47524
E167004,-75.48572,20.40312
E168004,-75.16476,20.32996
E169004,-74.84436,20.25578
E170004,-74.52451,20.18056
E171004,-74.20523,20.10432
E172004,-73.88654,20.02705
E173004,-73.56842,19.94876
E174004,-73.25089,19.86948
E175004,-72.93396,19.78918
E176004,-72.61761,19.7079
E177004,-72.30188,19.62559
E178004,-71.98676,19.5423
E179004,-71.67224,19.45802
E180004,-71.35834,19.37276
E181004,-71.04507,19.28651
E182004,-70.73245,19.19928
E183004,-70.42047,19.1111
E184004,-70.1091,19.02194
E185004,-69.7984,18.93182
E186004,-69.48837,18.84074
E187004,-69.17899,18.7487
E188004,-68.87027,18.65574
E189004,-68.56219,18.56182
E190004,-68.25482,18.46697
E191004,-67.94812,18.37119
E192004,-67.64212,18.27448
E193004,-67.33679,18.17685
E194004,-67.03217,18.07829
E195004,-66.72821,17.97886
E196004,-66.42499,17.87847
E197004,-66.12247,17.77722
E198004,-65.82065,17.67506
E001005,-130.0883,17.32784
E002005,-129.79,17.43579
E003005,-129.4909,17.54288
E004005,-129.1911,17.6491
E005005,-128.8906,17.75445
E006005,-128.5894,17.8589
E007005,-128.2874,17.96248
E008005,-127.9847,18.06513
E009005,-127.6813,18.16692
E010005,-127.3772,18.26778
E011005,-127.0723,18.36775
E012005,-126.7668,18.4668
E013005,-126.4606,18.56492
E014005,-126.1536,18.66212
E015005,-125.846,18.75839
E016005,-125.5377,18.85372
E017005,-125.2287,18.9481
E018005,-124.919,19.04155
E019005,-124.6087,19.13406
E020005,-124.2977,19.22558
E021005,-123.986,19.31616
E022005,-123.6737,19.40578
E023005,-123.3607,19.49443
E024005,-123.0471,19.58208
E025005,-122.7329,19.66878
E026005,-122.418,19.75446
E027005,-122.1025,19.83919
E028005,-121.7863,19.9229
E029005,-121.4696,20.00562
